"","...1","Transaction unique identifier","Price","Date of Transfer","Property Type","Old/New","Duration","Town/City","District","County","PPDCategory Type","Record Status - monthly file only"
"645",645,"{84E44B31-CB7C-4965-9B3E-9449818F886D}",235000,2008-03-28,"S",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"646",646,"{181F76AD-07E1-4887-9A01-CA75E231B516}",175000,2008-12-18,"T",FALSE,"F","ST. LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"647",647,"{4645F9E9-C00E-44C0-9591-0FA66518FFCA}",490000,2008-12-17,"D",FALSE,"F","SLOUGH","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"648",648,"{17096DCF-CDF4-4912-B118-517BDF8DBBAE}",960000,2008-10-15,"D",FALSE,"F","PRINCES RISBOROUGH","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"649",649,"{8548752E-E06B-42B0-9046-964C4FBA1663}",128000,2008-06-20,"F",FALSE,"L","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"650",650,"{61528968-2AE7-4FCE-9C97-B7EBB59CC996}",230000,2008-06-23,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"651",651,"{B4605CCE-75AF-4931-9B93-CEB283F94C9D}",249950,2009-12-14,"D",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"652",652,"{973DE8E2-B7AA-45C3-A5F7-6D519546BEA8}",206000,2008-01-30,"T",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"653",653,"{3876A318-5D93-43A0-9F2F-683D4723E1BF}",175000,2009-03-13,"D",FALSE,"F","NEWHAVEN","LEWES","EAST SUSSEX","A","A"
"654",654,"{44A09E0A-BBA0-4F31-8705-E39E243876E2}",365000,2008-05-30,"D",FALSE,"F","HEATHFIELD","WEALDEN","EAST SUSSEX","A","A"
"655",655,"{A9C0EF55-CDD9-4A14-AF64-264007D28DEE}",570000,2009-05-29,"D",FALSE,"F","CROWBOROUGH","WEALDEN","EAST SUSSEX","A","A"
"656",656,"{9F300F79-E6F7-4514-980D-75220F978277}",934350,2009-02-27,"D",TRUE,"F","BEACONSFIELD","CHILTERN","BUCKINGHAMSHIRE","A","A"
"657",657,"{A739B5E4-E89F-48E2-83D7-530C1CEEC84F}",164000,2009-11-27,"T",FALSE,"F","AMERSHAM","CHILTERN","BUCKINGHAMSHIRE","A","A"
"658",658,"{A39BB396-116C-44C0-B8D4-7B49C58E3291}",174500,2009-04-17,"S",FALSE,"F","PEACEHAVEN","LEWES","EAST SUSSEX","A","A"
"659",659,"{0766EC43-7D17-49A0-98F7-3BAB4EEAFE8C}",130000,2008-08-14,"F",FALSE,"L","UCKFIELD","WEALDEN","EAST SUSSEX","A","A"
"660",660,"{6F946D41-3730-4918-90AD-8966094565B1}",140000,2009-05-08,"T",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"661",661,"{FB684B6E-D54D-4CBD-AE13-3BF6955F8559}",124950,2008-03-17,"F",FALSE,"L","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"662",662,"{B94815EE-DAC6-4A76-B527-BCA1802AB80F}",89500,2008-02-08,"F",FALSE,"L","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
